,Energy_Generated_KWh,Temperature_C,apparent_zenith,azimuth,poa_global
2012-02-20,12.602095828560053,26.9777431909347,107.75016888165494,97.7995711680685,1400.232869840006
2012-02-21,12.212120759271002,28.411929746226804,107.662146568529,97.43406163846987,1356.9023065856668
2012-02-22,11.675145475935082,27.70280487762749,107.57026355512113,97.06653503813186,1297.238386215009
2012-02-23,11.449437773461552,27.503972620223408,107.47457059459244,96.69713030016152,1272.159752606839
2012-02-24,11.90481287891835,24.742188678491782,107.37512341544173,96.32598362145905,1322.7569865464834
2012-02-25,11.807322048431116,25.27204714477119,107.27198288548603,95.95322845219692,1311.924672047902
2012-02-26,12.752305780101807,26.215005270682802,107.1652149310487,95.5789955035022,1416.9228644557563
2012-02-27,12.136292273518125,24.437846434627694,107.05489030922459,95.2034127479684,1348.4769192797917
2012-02-28,12.340768815639008,24.50941908086228,106.94108434939349,94.82660541426247,1371.1965350710007
2012-02-29,12.179556863915652,26.58459994730941,106.82387675481567,94.44869596538422,1353.284095990628
2012-03-01,11.220621046592816,23.84637410912813,106.70335153739148,94.06980402082269,1246.735671843646
2012-03-02,12.731540796884714,24.02981982587041,106.57959712116717,93.69004618203519,1414.6156440983016
2012-03-03,12.12022451681504,25.73176385114883,106.45270658453599,93.30953575332967,1346.691612979449
2012-03-04,12.040038120502183,29.54836181164105,106.32277797601337,92.9283823707122,1337.7820133891316
2012-03-05,12.121846615990217,28.540969895629367,106.18991458200455,92.54669155330078,1346.8718462211352
2012-03-06,11.786718602921146,26.880985458572997,106.05422503502078,92.16456419764882,1309.6354003245717
2012-03-07,11.920705580891525,32.544410224447994,105.91582318105948,91.78209611164073,1324.5228423212805
2012-03-08,12.184619681696327,25.983837494627902,105.77482766527898,91.39937782160769,1353.8466312995918
2012-03-09,12.662491127328376,23.901029029537185,105.63136125164182,91.01649496079256,1406.9434585920417
2012-03-10,11.659299267393285,26.244874926003906,105.48554990579169,90.63352943086551,1295.4776963770319
2012-03-11,12.22808715297198,25.072845260710885,105.33752169148435,90.25056120029637,1358.67635033022
2012-03-12,12.015890911414928,23.128778895562426,105.18740553802479,89.86767025413792,1335.098990157214
2012-03-13,12.296627377522348,25.571522687575662,105.03532996354782,89.484938089217,1366.2919308358164
2012-03-14,11.922223908215866,24.631947434994714,104.88142188348527,89.10244836762587,1324.6915453573185
2012-03-15,12.847647092975189,27.85178476234063,104.72580565464565,88.7202867565793,1427.51634366391
2012-03-16,11.207033041329778,25.225541618447092,104.56860249687053,88.33854029821919,1245.2258934810864
2012-03-17,11.473555522864674,27.30795295695221,104.40993036484663,87.95729668328687,1274.839502540519
2012-03-18,12.497139578947454,27.26401689880664,104.24990423387709,87.5766436082655,1388.5710643274947
2012-03-19,11.915916735162495,31.57309692291984,104.08863669250336,87.19666819403136,1323.9907483513882
2012-03-20,12.50748868729061,28.616672372022016,103.92623868271028,86.81745641412311,1389.7209652545123
2012-03-21,12.612931830289472,27.76134960707304,103.7628202583513,86.43909257524615,1401.4368700321634
2012-03-22,12.202776807846263,29.366222221734986,103.5984912580759,86.06165896830566,1355.8640897606958
2012-03-23,12.269007922684635,27.776303163927505,103.43336181570439,85.6852357593799,1363.223102520515
2012-03-24,11.876613191848879,29.975744748521816,103.26754266884957,85.30990106953334,1319.6236879832088
2012-03-25,12.296700160007623,23.997652333426416,103.10114525473082,84.93573113315335,1366.3000177786248
2012-03-26,12.532652957643736,30.433592381844434,102.93428164678393,84.56280046086744,1392.5169952937483
2012-03-27,12.950844009961747,24.780303524573508,102.7670644275255,84.19118199951896,1438.9826677735275
2012-03-28,12.358407139785228,27.720019900738958,102.59960660340485,83.82094728408902,1373.1563488650254
